Category,TargetYear,Action,SLR,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P25,P50,P75,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99
RES_OutFP,2100,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,2100,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NONRES_InFP,Potential,No mitigation,50th-percentile,144934.050044924,144934.050044924,144934.050044924,144934.050044924,144934.050044924,146881.908864022,150418.87887645,151782.666815575,158411.138058312,162752.442298605,286495.561165242,716870.720067411,1457453.2027376,2374070.85613783,2444128.8081252,2499798.68407119,2550284.28546946,2628104.72671254,2748966.52377313,2918084.98912976,3248302.18735607,3734421.71452193,4349814.60603076
NONRES_InFP,Potential,No mitigation,90th-percentile,144934.050044924,144934.050044924,144934.050044924,144934.050044924,146383.942136908,150293.767065257,152512.724004191,158626.213352257,164944.940845875,172078.25925318,307042.813333733,753930.760762795,1368775.53134386,2321950.05100201,2416861.33986224,2482769.75496185,2551460.70280422,2616641.4605852,2690559.62049278,2761361.60071104,3478582.68594372,4389083.57187252,5333743.45895852
NONRES_InFP,Potential,Raise Utilities,50th-percentile,84619.288382988,84619.288382988,84619.288382988,84619.288382988,84619.288382988,86012.7848573976,88543.1300724017,89518.7827564562,95217.9643959282,99129.9523653752,217828.453256112,625920.489084698,1290135.97273296,2156051.59097656,2224893.82035304,2279584.82561429,2329180.91274027,2405583.18257472,2524234.7064063,2689670.3248325,3017104.82488328,3499074.1720258,4101347.47308428
NONRES_InFP,Potential,Raise Utilities,90th-percentile,84619.288382988,84619.288382988,84619.288382988,84619.288382988,85656.5399017552,88453.6251934575,90041.0650227475,95411.7706614808,101105.632360419,107533.529196722,237944.880753625,661614.789849866,1221629.08195193,2104832.04282127,2198102.15477731,2262855.32450285,2330335.94088596,2394329.55217061,2466895.92570769,2536403.10702967,3245419.77022353,4138866.0536089,5049022.9026744
NONRES_InFP,Potential,WFP B,50th-percentile,7673.50898925305,7673.50898925305,7673.50898925305,7673.50898925305,7673.50898925305,8113.81384375559,8913.33024167517,9221.60846195531,13963.5502183858,17676.9400727197,124596.812976112,540750.413064698,1228456.73511609,2111160.94644822,2180303.18026364,2235235.74190291,2285051.3348831,2361803.56754127,2481000.52153432,2648032.64704573,2976033.38617045,3458847.23528367,4062143.34362696
NONRES_InFP,Potential,WFP B,90th-percentile,7673.50898925305,7673.50898925305,7673.50898925305,7673.50898925305,8001.25067173331,8885.04927116355,9386.63465433665,14147.5176093468,19552.3216194693,25653.8963387818,144713.240473625,576444.713829866,1147537.28083351,2059718.9946851,2153394.1006356,2218432.35080398,2286211.64124901,2350498.20523141,2423398.1597252,2493224.85917816,3204748.29333925,4099724.68687779,4991033.19812736
NONRES_InFP,Potential,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NONRES_InFP,Potential,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NONRES_InFP,Potential,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NONRES_InFP,Potential,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NONRES_InFP,2040,No mitigation,50th-percentile,14778409.9433111,15534256.5327867,16120350.1340156,16603577.9089012,16795871.0550483,16974055.2201117,17195861.7468709,17572953.6662124,17799791.1643213,18023011.0567819,20147232.6258822,23101043.6100724,26499635.2921863,30521004.4828121,31177849.4950247,31845090.1759436,32255545.2524119,33297481.8441031,34711884.6448779,37318385.0129379,42305493.2705474,56817240.3957639,68990737.2747335
NONRES_InFP,2040,No mitigation,90th-percentile,15135675.0839638,15666935.1049752,16434674.9478287,16794576.7242964,17187160.6668794,17352415.5459446,17587835.2846913,17855303.9336926,17996455.1165375,18237784.9226072,20291548.964649,23217062.922509,26609179.1741936,30435597.2983046,30923143.5062418,31598614.3501941,32445655.792814,33493944.5098552,34240658.7700927,35658790.9345866,46096278.0104562,62284875.8336435,81159360.1854407
NONRES_InFP,2040,Raise Utilities,50th-percentile,12961071.0004189,13760854.1736368,14260664.7917918,14682952.8539457,14890423.2761424,15035490.5801577,15328355.590727,15594539.0028752,15857970.8876363,16066982.5190167,18010990.4256968,20828678.4012295,24023761.9535832,27794623.545025,28547519.8485782,29114968.3400318,29478784.4923095,30482187.0819516,31695523.7990273,34171753.9096629,38778796.6903201,52663767.8276182,64521751.3752913
NONRES_InFP,2040,Raise Utilities,90th-percentile,13381677.2442669,13863635.0061444,14575949.8741804,14889218.4944108,15282650.5288108,15453021.1501527,15669191.9692554,15888225.6076624,16011337.0377124,16286443.9339311,18166564.6403814,20942902.6225514,24198895.9291137,27844790.420482,28271775.5735216,28847032.4498451,29748424.0137165,30744912.0916024,31337755.6521916,32710551.3736056,42156552.7494078,58018044.394806,76658262.0090409
NONRES_InFP,2040,WFP B,50th-percentile,11704129.2943898,12479254.0494456,12998000.3243624,13438758.838745,13650503.1903882,13794285.9154277,14058433.75581,14383484.1841965,14634291.9978164,14810424.1831377,16827258.7644437,19649349.0167548,22905010.383571,26694612.3191759,27213137.4413192,27859338.0125869,28339536.6219985,29398914.8062574,30340351.721818,32696421.9693209,36996848.9740614,50368375.209015,62306614.1945835
