BuildingID,Longitude,Latitude,OccupancyType,OccupancyGroup,SOID,StructureValue,ContentValue,GroundElevation_ft,FFE_ft,DFE_Status,ManufRestriction,OccupancyFallback
7537023,-72.8565,40.751377,RES1-1SWB,RES,R11B,161130.91,80565.45,3.8009,5.8009,Under DFE,0,0
7537025,-72.856985,40.750189,RES1-1SNB,RES,R11N,146082.55,73041.28,3.2888,4.7888,Under DFE,0,0
7537027,-72.856956,40.75045,RES1-1SWB,RES,R11B,127980.97,63990.49,3.3695,5.3695,Under DFE,0,0
7537029,-72.856882,40.751472,RES1-1SNB,RES,R11N,250474.33,125237.16,4.31,4.81,Under DFE,0,0
7537031,-72.856566,40.750862,RES1-1SWB,RES,R11B,174010.37,87005.19,3.8525,5.8525,Under DFE,0,0
7537033,-72.856937,40.751275,RES1-1SWB,RES,R11B,164488.07,82244.04,4.2158,6.2158,Under DFE,0,0
7537035,-72.856482,40.751833,RES1-1SNB,RES,R11N,113648.83,56824.41,5.4507,5.9507,Under DFE,0,0
7537037,-72.856552,40.751234,RES1-1SNB,RES,R11N,259889.63,129944.82,3.5233,5.0233,Under DFE,0,0
7537039,-72.856567,40.750447,RES1-1SNB,RES,R11N,124602.38,62301.19,3.5045,5.0045,Under DFE,0,0
7537041,-72.856611,40.75025,RES1-1SNB,RES,R11N,131173.69,65586.85,3.4941,3.9941,Under DFE,0,0
7537043,-72.857501,40.749635,RES3A,RES,R3A3N,658626.28,329313.14,3.0382,4.5382,Under DFE,0,0
7537045,-72.85764,40.749728,RES1-1SNB,RES,R11N,107772.57,53886.28,3.6848,11.6848,Above DFE,0,0
7537047,-72.857488,40.749822,RES1-1SNB,RES,R11N,169101.73,84550.87,4.0534,12.0534,Above DFE,0,0
7537049,-72.857587,40.747972,RES3A,RES,R3A1N,667494.14,333747.07,2.4006,3.9006,Under DFE,0,0
7537051,-72.860954,40.752934,RES3A,RES,R3A1N,797606.78,398803.39,4.1397,12.1397,Above DFE,0,0
7537053,-72.859762,40.749811,RES3A,RES,R3A3N,675153.41,337576.7,2.9573,10.9573,Above DFE,0,0
7537055,-72.857886,40.749786,RES3A,RES,R3A3N,896126.77,448063.39,4.7068,6.2068,Under DFE,0,0
7537258,-72.860949,40.753231,RES3A,RES,R3A1N,715377.11,357688.55,4.8625,12.8625,Above DFE,0,0
7537993,-72.857652,40.7495,RES3A,RES,R3A3N,710801.94,355400.97,3.0827,11.0827,Above DFE,0,0
7537995,-72.858397,40.749741,RES1-1SNB,RES,R11N,137482.58,68741.29,1.944,9.944,Under DFE,0,0
7537996,-72.85852,40.749692,RES1-1SNB,RES,R11N,54635.31,27317.65,2.4949,10.4949,Above DFE,0,0
